Season,Team,League,GP,G,A,TP,PIM,PlusMinus,PlayerID
2002-03,Arvika HC,Division 1,30,13,28,41,89,,2647
2002-03,HC Ambrì-Piotta,NLA,44,12,22,34,42,,10823
2003-04,Dynamo Moskva,Russia,53,13,11,24,40,7,4230
2003-04,Russia U20,WJC-20,6,5,2,7,25,2,4230
2003-04,Russia,WCup,2,1,0,1,0,,4230
2003-04,Russia,EHT,8,4,2,6,0,,4230
2003-04,Russia,WC,6,1,1,2,0,0,4230
2003-04,Metallurg Magnitogorsk,Russia,34,3,9,12,12,11,4231
2003-04,Metallurg Magnitogorsk-2,Russia3,2,1,0,1,8,,4231
2003-04,Russia U18,WJC-18,6,4,4,8,31,4,4231
2003-04,Russia U20,WJC-20,6,1,4,5,0,2,4231
2003-04,Medicine Hat Tigers,WHL,69,21,44,65,105,-17,9198
2003-04,Medicine Hat Tigers,M-Cup,4,0,2,2,10,3,9198
2003-04,Canada U18,Hlinka Memorial,5,2,0,2,4,,9198
2003-04,Calgary Hitmen,WHL,71,30,45,75,119,39,6668
2003-04,Team Northwest,UMEHL,24,5,6,11,-,,9215
2003-04,Breck School,USHS-MN,27,39,50,89,34,,9215
2003-04,HC Vitkovice U20,Czech U20,3,2,0,2,0,2,8652
2003-04,HC Vitkovice,Czech,35,1,11,12,10,6,8652
2003-04,Czech Republic U20,WJC-20,6,3,2,5,6,4,8652
2003-04,Czech Republic U20 (all),International-Jr,17,6,8,14,12,,8652
2003-04,Czech Republic (all),International,2,0,0,0,0,,8652
2003-04,Lewiston MAINEiacs,QMJHL,69,39,31,80,88,4,6670
2003-04,QMJHL All-Stars,CHL Challenge,2,1,5,6,0,,6670
2003-04,HC Liberec U20,Czech U20,14,4,10,14,38,0,9225
2003-04,Bili Tygri Liberec,Czech,45,1,1,2,51,-5,9225
2003-04,HC Berounsti Medvedi,Czech2,0,0,0,0,0,,9225
2003-04,Czech Republic U18,WJC-18,5,0,2,2,0,1,9225
2003-04,Czech Republic U18 (all),International-Jr,11,2,3,5,0,,9225
2003-04,Czech Republic U20,WJC-20,6,1,2,3,4,2,9225
2003-04,Czech Republic U20 (all),International-Jr,16,3,5,8,10,2,9225
2003-04,Kitchener Rangers,OHL,68,3,12,15,278,2,9244
2003-04,Slovakia U18,WJC-18,6,0,3,3,26,5,9244
2003-04,Blues U20,Jr. A SM-liiga,14,14,9,23,4,6,3199
2003-04,Blues,Liiga,35,3,3,6,16,-2,3199
2003-04,Suomi U20,Mestis,6,0,0,0,6,-3,3199
2003-04,Finland U18,WJC-18,6,5,6,11,10,7,3199
2003-04,Finland U20,WJC-20,7,2,1,3,2,0,3199
2003-04,Michigan State Univ.,NCAA,41,11,18,29,50,16,11595
2003-04,Univ. of North Dakota,NCAA,36,11,21,32,30,,9180
2003-04,USA U20,WJC-20,6,0,2,2,2,4,9180
2003-04,THK Tver,Russia2,42,15,16,31,102,6,8794
2003-04,Dynamo Moskva,Russia,1,0,0,0,2,-2,8794
2003-04,Dynamo Moskva-2,Russia3,-,-,-,-,-,,8794
2003-04,Russia U18,WJC-18,6,2,5,7,2,7,8794
2003-04,SaiPa U20,Jr. A SM-liiga,10,5,3,8,4,6,4128
2003-04,SaiPa,Liiga,40,4,4,8,16,-4,4128
2003-04,Suomi U20,Mestis,3,0,1,1,0,1,4128
2003-04,Finland U18,WJC-18,6,5,6,11,16,5,4128
2003-04,Finland U20,WJC-20,7,1,0,1,0,2,4128
2003-04,Prince Albert Raiders,WHL,64,15,33,48,118,6,9192
2003-04,Canada U18,WJC-18,7,3,2,5,28,0,9192
2003-04,Canada U18,Hlinka Memorial,5,1,0,1,2,,9192
2003-04,TPS U18,Jr. B SM-sarja,0,0,0,0,0,,4219
2003-04,TPS U20,Jr. A SM-liiga,36,12,8,20,20,12,4219
2003-04,Finland U18,WJC-18,6,5,6,11,2,7,4219
2003-04,Salmon Arm Silverbacks,BCHL,59,43,69,112,110,,10232
2003-04,Brampton Battalion,OHL,66,29,41,70,30,4,8832
2003-04,OHL All-Stars,CHL Challenge,2,1,1,2,0,,8832
2003-04,Canada U18,JWC-18,5,1,4,5,4,,8832
2003-04,HC Litvinov U20,Czech U20,23,21,14,35,56,5,9616
2003-04,HC Litvinov,Czech,37,4,2,6,10,0,9616
2003-04,HC Slovan Ústečtí Lvi,Czech2,1,1,0,1,0,1,9616
2003-04,HC Most,Czech3,0,0,0,0,0,,9616
2003-04,Czech Republic U20,WJC-20,6,0,3,3,2,2,9616
2003-04,Czech Republic U20 (all),International-Jr,16,3,8,11,4,,9616
2003-04,HK Dukla Trencin U20,Slovakia U20,5,2,2,4,0,7,8664
2003-04,HK Dukla Trencin,Slovakia,44,3,3,6,8,,8664
2003-04,Slovakia U20,WJC-20,6,1,1,2,12,1,8664
2003-04,Slovakia,WC,7,0,1,1,2,0,8664
2003-04,Slovakia (all),International,7,0,1,1,2,0,8664
2003-04,Salmon Arm Silverbacks,BCHL,53,32,55,87,161,,11434
2003-04,Mississauga IceDogs,OHL,3,2,4,6,0,1,8876
2003-04,London Knights,OHL,60,28,41,69,18,14,8876
2003-04,U.S. National U18 Team,USDP,2,0,0,0,8,,8876
2003-04,Calgary Hitmen,WHL,72,11,24,35,33,28,9490
2003-04,Canada U18,WJC-18,7,0,0,0,2,5,9490
2003-04,Vancouver Giants,WHL,72,1,11,12,192,-8,8399
2003-04,Saskatoon Blades,WHL,59,14,25,39,92,-26,9476
2003-04,WHL All-Stars,CHL Challenge,2,0,0,0,0,,9476
2003-04,Calgary Hitmen,WHL,64,1,3,4,89,11,9483
2003-04,Canada U18,WJC-18,7,1,2,3,26,-1,9483
2003-04,Djurgårdens IF J20,SuperElit,6,4,9,13,6,,1269
2003-04,Djurgårdens IF,SHL,25,0,3,3,4,4,1269
2003-04,Almtuna IS,Allsvenskan,2,0,0,0,0,-1,1269
2003-04,Sweden U18 (all),International-Jr,5,0,1,1,2,,1269
2003-04,Sweden U20,WJC-20,6,0,1,1,4,3,1269
2003-04,London Knights,OHL,65,37,30,67,58,17,9193
2003-04,Cushing Academy,USHS-Prep,31,37,53,90,96,,6667
2003-04,Luleå HF J20,SuperElit,5,0,2,2,10,,507
2003-04,Luleå HF,SHL,44,3,3,6,28,9,507
2003-04,Sweden U20,WJC-20,6,3,0,3,2,-2,507
2003-04,Sweden U20 (all),International-Jr,12,3,3,6,10,,507
2003-04,Sweden (all),International,1,0,0,0,4,,507
2003-04,Tri-City Americans,WHL,69,3,8,11,112,2,11474
2003-04,Northern Michigan Univ.,NCAA,41,13,21,34,26,-3,11418
2003-04,Sault Ste. Marie Greyhounds,OHL,68,6,20,26,140,12,18015
2003-04,Dartmouth College,NCAA,34,3,22,25,57,,14106
2003-04,Ottawa 67's,OHL,59,20,16,36,76,-9,11346
2003-04,Krylia Sovetov,Russia2,46,7,8,15,40,-1,9259
2003-04,Krylia Sovetov Moskva-2,Russia3,4,3,1,4,2,,9259
2003-04,Russia U18,WJC-18,6,5,6,11,18,6,9259
2003-04,Portland Winter Hawks,WHL,71,3,25,28,86,-9,9482
2003-04,Canada U18,WJC-18,7,0,1,1,2,3,9482
2003-04,Kamloops Blazers,WHL,70,5,9,14,118,-6,11605
2003-04,Guelph Storm,OHL,36,16,18,34,32,11,9488
2003-04,Windsor Spitfires,OHL,16,3,10,13,12,4,9488
2003-04,Canada U18,WJC-18,7,1,4,5,6,-1,9488
2003-04,Boston College,NCAA,29,4,4,8,30,,9415
2003-04,Kelowna Rockets,WHL,71,10,23,33,123,13,9190
2003-04,Kelowna Rockets,M-Cup,4,0,0,0,6,0,9190
2003-04,Canada U18,Hlinka Memorial,5,0,0,0,6,,9190
2003-04,Prince Albert Raiders,WHL,51,9,8,17,134,-5,9489
2003-04,Canada U18,WJC-18,7,0,1,1,8,1,9489
2003-04,Malmö Redhawks J20,SuperElit,27,23,25,48,30,,665
2003-04,Malmö Redhawks,SHL,24,1,1,2,8,-8,665
2003-04,Sweden U19 (all),International-Jr,3,1,1,2,2,,665
2003-04,Dynamo Moskva-2,Russia3,-,-,-,-,-,,9255
2003-04,Kristall Saratov,Russia2,35,10,6,16,30,2,9255
2003-04,Russia U18,WJC-18,6,1,0,1,12,-1,9255
2003-04,Moncton Wildcats,QMJHL,68,24,33,57,89,-4,14004
2003-04,Nanaimo Clippers,BCHL,54,20,32,52,93,,11425
2003-04,Nanaimo Clippers,RBC Cup,4,1,3,4,8,,11425
2003-04,Michigan State Univ.,NCAA,30,8,10,18,30,6,9402
2003-04,USA U20,WJC-20,6,0,1,1,2,3,9402
2003-04,HC Sparta Praha U20,Czech U20,13,8,14,22,4,1,9229
2003-04,HC Sparta Praha,Czech,34,5,1,6,14,3,9229
2003-04,HC Dukla Jihlava,Czech2,1,0,0,0,0,-1,9229
2003-04,Czech Republic U18,WJC-18,7,3,3,6,6,6,9229
2003-04,Czech Republic U18 (all),International-Jr,11,5,4,9,8,,9229
2003-04,Czech Republic U20,WJC-20,5,0,1,1,0,0,9229
2003-04,Czech Republic U20 (all),International-Jr,17,3,3,6,6,0,9229
2003-04,Green Bay Gamblers,USHL,58,11,26,37,33,3,41101
2003-04,Södertälje SK J20,SuperElit,33,1,2,3,32,,2439
2003-04,Södertälje SK,SHL,1,0,0,0,0,0,2439
2003-04,Sweden U19 (all),International-Jr,4,0,0,0,6,,2439
2003-04,U.S. National U18 Team,NAHL,11,4,2,6,31,,9213
2003-04,USA U18,WJC-18,6,0,0,0,8,-2,9213
2003-04,CSKA Moskva,Russia,28,0,3,3,12,-1,9254
2003-04,CSKA Moskva-2,Russia3,13,1,2,3,26,,9254
2003-04,Russia U18,WJC-18,6,1,0,1,20,2,9254
2003-04,Ottawa 67's,OHL,43,4,10,14,50,9,9484
2003-04,Canada U18,WJC-18,7,0,0,0,8,1,9484
2003-04,Portland Winter Hawks,WHL,71,30,48,78,137,-4,11024
2003-04,Grand Rapids High,USHS-MN,26,25,31,56,16,,9435
2003-04,Sioux Falls Stampede,USHL,10,0,2,2,6,-5,9435
2003-04,Krylia Sovetov,Russia2,38,5,10,15,12,4,9260
2003-04,Krylia Sovetov Moskva-2,Russia3,10,4,1,5,6,,9260
2003-04,Russia U18,WJC-18,6,0,4,4,8,5,9260
2003-04,HC Kladno U20,Czech U20,50,23,37,60,37,4,9226
2003-04,Czech Republic U18,WJC-18,7,3,4,7,0,7,9226
2003-04,Czech Republic U18 (all),International-Jr,10,4,4,8,0,,9226
2003-04,Czech Republic U19 (all),International-Jr,3,0,0,0,2,,9226
2003-04,Moncton Wildcats,QMJHL,60,30,23,53,76,6,9238
2003-04,Latvia U20,WJC-20 D1,5,7,6,13,22,7,9238
2003-04,Rimouski Océanic,QMJHL,69,22,16,38,112,6,11524
2003-04,Jokerit,Liiga,53,3,4,7,20,4,4127
2003-04,Suomi U20,Mestis,1,0,0,0,0,-2,4127
2003-04,Finland U20,WJC-20,7,4,4,8,10,10,4127
2003-04,St. Albert Saints,AJHL,51,35,36,71,33,,17765
2003-04,Oshawa Generals,OHL,66,17,29,46,44,-2,9493
2003-04,Canada U18,WJC-18,7,1,2,3,26,-2,9493
2003-04,St. Cloud State Univ.,NCAA,32,0,9,9,18,-2,9419
2003-04,London Knights,OHL,64,19,33,52,269,23,8920
2003-04,HK Dukla Trencin U18,Slovakia U18,3,0,0,0,2,,9249
2003-04,HK Dukla Trencin U20,Slovakia U20,45,5,12,17,16,,9249
2003-04,HK Dukla Trencin II,Slovakia2,5,0,0,0,0,,9249
2003-04,HK Dukla Trencin,Slovakia,3,0,0,0,2,,9249
2003-04,Slovakia U18,WJC-18,6,1,1,2,18,0,9249
2003-04,CSKA Moskva,Russia,27,2,4,6,4,2,9588
2003-04,CSKA Moskva-2,Russia3,28,12,16,28,28,,9588
2003-04,Russia U18,WJC-18,6,0,3,3,0,2,9588
2003-04,HC Litvinov U20,Czech U20,52,14,15,29,204,2,9235
2003-04,Czech Republic U18,WJC-18,7,1,3,4,6,6,9235
2003-04,Czech Republic U18 (all),International-Jr,13,2,6,8,14,6,9235
2003-04,Czech Republic U19 (all),International-Jr,3,2,0,2,0,0,9235
2003-04,Green Bay Gamblers,USHL,57,6,21,27,124,10,9411
2003-04,Toronto St. Michael's Majors,OHL,53,26,41,67,105,16,9508
2003-04,Canada U20,WJC-20,6,1,2,3,4,1,9508
2003-04,OHL All-Stars,CHL Challenge,2,1,1,2,2,,9508
2003-04,Toronto St. Michael's Majors,OHL,66,5,27,32,189,12,11756
2003-04,Capital District Selects,EJHL,36,17,22,39,117,,9436
2003-04,HK Dukla Trencin U20,Slovakia U20,40,16,20,36,74,46,11772
2003-04,HK Dukla Trencin II,Slovakia2,2,0,0,0,0,0,11772
2003-04,HK Dukla Trencin,Slovakia,16,0,0,0,18,-2,11772
2003-04,Tri-City Americans,WHL,71,7,24,31,109,21,11361
2003-04,Cushing Academy,USHS-Prep,37,35,55,90,40,,14877
2003-04,Plymouth Whalers,OHL,67,14,28,42,108,1,12114
2003-04,THK Tver,Russia2,21,8,3,11,14,2,11495
2003-04,Russia U18,WJC-18,6,3,0,3,4,3,11495
2003-04,Metallurg Novokuznetsk,Russia,57,5,4,9,24,-6,12297
2003-04,Lada Togliatti-2,Russia3,2,0,0,0,10,,9253
2003-04,CSK VVS Samara,Russia2,53,2,4,6,198,-9,9253
2003-04,Russia U18,WJC-18,6,0,0,0,10,0,9253
2003-04,Moorhead High,USHS-MN,26,19,37,56,26,,15041
2003-04,Lethbridge Hurricanes,WHL,62,21,24,45,31,8,9487
2003-04,Canada U18,WJC-18,7,3,0,3,0,-2,9487
2003-04,Herning Blue Fox,Denmark,33,9,11,20,14,,4104
2003-04,Denmark U18,WJC-18,6,5,4,9,0,6,4104
2003-04,Denmark U20,WJC-20 D1,5,1,2,3,2,3,4104
2003-04,Seattle Thunderbirds,WHL,72,3,14,17,125,13,11528
2003-04,Jämtlands HF J20,J20 Elit,6,0,3,3,6,,4081
2003-04,Jämtlands HF,Division 1,24,3,6,9,20,,4081
2003-04,New England Jr. Coyotes,EJHL,39,19,25,44,120,,14875
2003-04,Deerfield Academy,USHS-Prep,23,6,4,10,22,,15066
2003-04,Neftekhimik Nizhnekamsk-2,Russia3,-,-,-,-,-,,12251
2003-04,Linköping HC,SHL,49,12,18,30,26,24,158
2003-04,Sweden,EHT,6,0,0,0,8,-1,158
2003-04,Sweden (all),International,10,1,0,1,10,,158
2003-04,Moose Jaw Warriors,WHL,72,18,20,38,40,-5,9191
2003-04,Sault Ste. Marie Greyhounds,OHL,63,16,26,42,28,-4,11535
2003-04,Team Southwest,USHS-MN,24,8,8,16,-,,15059
2003-04,Blake School,USHS-MN,27,31,24,55,4,,15059
2003-04,Team Northeast,USHS-MN,24,9,16,25,-,,18033
2003-04,Centennial High,USHS-MN,30,29,56,85,34,,18033
2003-04,Univ. of Maine,NCAA,44,3,16,19,34,,14077
2003-04,HK 95 Povazska Bystrica U18,Slovakia U18,10,14,10,24,31,21,18032
2003-04,HK 95 Povazska Bystrica,Slovakia2,29,11,9,20,30,5,18032
2003-04,Slovakia U18,WJC-18,6,7,1,8,6,6,18032
2003-04,VIK Hockey Ungdom J18,J18 Allsvenskan,14,12,15,27,6,,2495
2003-04,VIK Hockey Ungdom J20,J20 Elit,0,0,0,0,0,,2495
2003-04,VIK Hockey Ungdom,Allsvenskan,32,2,4,6,0,-3,2495
2003-04,Sweden U18,WJC-18,6,0,1,1,4,-3,2495
2003-04,Sweden U18 (all),International-Jr,20,2,5,7,4,,2495
2003-04,Prince Albert Raiders,WHL,71,3,6,9,190,-6,18031
2003-04,Mississauga IceDogs,OHL,68,17,25,42,25,23,15024
2003-04,Gatineau Olympiques,QMJHL,54,10,13,23,121,5,18030
2003-04,Gatineau Olympiques,M-Cup,5,4,1,5,0,4,18030
2003-04,Moose Jaw Warriors,WHL,72,15,22,37,139,5,10637
2003-04,Calgary Hitmen,WHL,71,5,27,32,49,14,10406
2003-04,Spokane Chiefs,WHL,72,19,14,33,65,-7,17817
2003-04,Chatham Jr. Maroons,WOHL,46,39,30,69,64,,11410
2003-04,Peterborough Petes,OHL,68,31,33,64,22,-7,9496
2003-04,Canada U18,WJC-18,7,6,1,7,6,5,9496
2003-04,HK Dukla Trencin,Slovakia,51,16,20,36,93,37,9665
2003-04,Slovakia,WC,9,0,0,0,2,1,9665
2003-04,Val-d'Or Foreurs,QMJHL,68,7,11,18,97,-6,12141
2003-04,Univ. of Notre Dame,NCAA,39,2,10,12,28,7,9480
2003-04,Canada U18,WJC-18,7,1,1,2,2,4,9480
2003-04,Canada U18,Hlinka Memorial,5,1,4,5,0,,9480
2003-04,HC Slavia Praha U20,Czech U20,55,25,35,60,112,6,9233
2003-04,HC Slavia Praha,Czech,1,0,0,0,0,-1,9233
2003-04,Czech Republic U18,WJC-18,7,3,2,5,8,6,9233
2003-04,Czech Republic U18 (all),International-Jr,13,5,7,12,8,,9233
2003-04,Czech Republic U19 (all),International-Jr,3,0,1,1,0,,9233
2003-04,Gottéron U20,Elite Jr. A,13,7,8,15,24,,9242
2003-04,HC Fribourg-Gottéron,NLA,42,2,3,5,14,,9242
2003-04,Switzerland U18,WJC-18 D1,5,7,2,9,0,7,9242
2003-04,Prince Albert Raiders,WHL,71,16,24,40,18,9,4131
2003-04,U.S. National U18 Team,NAHL,11,3,8,11,4,,9212
2003-04,U.S. National U18 Team,USDP,44,5,21,26,26,,9212
2003-04,USA U18,WJC-18,6,2,6,8,4,2,9212
2003-04,Windsor Spitfires,OHL,68,11,15,26,91,2,53546
2003-04,Kamloops Blazers,WHL,72,24,14,38,79,23,11671
2003-04,CSKA Moskva-2,Russia3,55,23,27,50,60,,12427
2003-04,Russian Selects,CHL Challenge,6,0,0,0,2,,12427
2003-04,HC Sparta Praha U20,Czech U20,21,10,10,20,16,9,9234
2003-04,HC Sparta Praha,Czech,13,0,0,0,0,-4,9234
2003-04,Czech Republic U18,WJC-18,7,1,1,2,2,2,9234
2003-04,Czech Republic U20,WJC-20,7,1,0,1,2,0,9234
2003-04,Czech Republic U18 (all),International-Jr,11,2,4,6,4,2,9234
2003-04,Czech Republic U20 (all),International-Jr,21,2,1,3,6,0,9234
2003-04,Prince Edward Island Rocket,QMJHL,70,21,22,43,51,7,11124
2003-04,Langley Hornets,BCHL,57,43,32,75,71,,15047
2003-04,Hotchkiss School,USHS-Prep,25,25,37,62,42,,11438
2003-04,Guelph Storm,OHL,68,36,32,68,86,17,9437
2003-04,Guelph Storm,M-Cup,3,1,1,2,8,1,9437
2003-04,Kitchener Rangers,OHL,68,15,36,51,28,4,9491
2003-04,Canada U18,WJC-18,7,1,1,2,4,0,9491
2003-04,Rimouski Océanic,QMJHL,45,7,18,25,30,20,23857
2003-04,London Knights,OHL,62,9,14,23,48,15,11326
2003-04,MODO Hockey J18,J18 Allsvenskan,3,3,1,4,2,,1950
2003-04,MODO Hockey J20,SuperElit,25,7,11,18,28,,1950
2003-04,MODO Hockey,SHL,24,1,2,3,6,-6,1950
2003-04,Sweden U18,WJC-18,6,3,1,4,0,-1,1950
2003-04,Sweden U18 (all),International-Jr,18,3,3,6,6,,1950
2003-04,Gatineau Olympiques,QMJHL,70,23,27,50,16,11,9228
2003-04,Lethbridge Hurricanes,WHL,68,16,33,49,85,-5,9486
2003-04,Canada U18,WJC-18,7,0,2,2,4,1,9486
2003-04,HC Zlin U20,Czech U20,52,18,33,51,104,11,9620
2003-04,HC Zlin,Czech,9,0,0,0,0,-1,9620
2003-04,Czech Republic U18,WJC-18,7,2,3,5,16,-1,9620
2003-04,Czech Republic U18 (all),International-Jr,12,7,5,12,20,-1,9620
2003-04,Avangard Omsk-2,Russia3,52,5,9,14,50,,12241
2003-04,Russian Selects,CHL Challenge,6,0,0,0,2,,12241
2003-04,HIFK U20,Jr. A SM-liiga,30,12,10,22,60,8,4130
2003-04,HIFK,Liiga,3,0,0,0,0,0,4130
2003-04,Suomi U20,Mestis,3,0,0,0,0,-3,4130
2003-04,Univ. of Wisconsin,NCAA,37,6,13,19,48,,9416
2003-04,USA U20,WJC-20,6,0,2,2,2,2,9416
2003-04,Sioux Falls Stampede,USHL,59,26,38,64,168,13,14182
2003-04,HC VTJ Telvis Topoľčany,Slovakia2,28,16,8,24,8,,9245
2003-04,Slovakia U18,WJC-18,6,2,0,2,4,1,9245
2003-04,Rimouski Océanic,QMJHL,50,4,11,15,194,-4,11526
2003-04,Tri-City Storm,USHL,43,4,20,24,78,23,15308
2003-04,Peterborough Petes,OHL,60,0,8,8,63,-18,11010
2003-04,Lukko,Liiga,55,21,15,36,73,13,4278
2003-04,Finland,EHT,4,1,0,1,0,,4278
2003-04,Medicine Hat Tigers,WHL,72,25,35,60,45,14,10876
2003-04,Medicine Hat Tigers,M-Cup,4,0,0,0,4,1,10876
2003-04,Plymouth Whalers,OHL,68,15,15,30,214,4,11351
2003-04,Neftekhimik Nizhnekamsk,Russia,45,6,11,17,26,11,9351
2003-04,Belarus U20,WJC-20 D1,5,4,5,9,0,7,9351
2003-04,Belarus,WC D1,5,2,1,3,8,6,9351
2003-04,Belarus (all),International,13,2,3,5,12,,9351
2003-04,Yunior Minsk,Belarus,4,0,1,1,6,,12191
2003-04,Dinamo Minsk,Belarus,43,0,4,4,28,,12191
2003-04,Dinamo Minsk-2,Belarus2,3,1,0,1,2,,12191
2003-04,Belarus U18,WJC-18,5,1,0,1,24,-4,12191
2003-04,Belarus U20,WJC-20 D1,5,0,2,2,6,1,12191
2003-04,Belarus (all),International,3,0,0,0,2,,12191
2003-04,Dinamo Minsk,Belarus Cup,3,0,0,0,6,,12191
2003-04,Oshawa Generals,OHL,56,0,7,7,41,-5,13615
2003-04,Northwood School Prep,USHS-Prep,40,32,34,66,22,,15057
2003-04,Västra Frölunda HC J18,J18 Allsvenskan,0,0,0,0,0,,1290
2003-04,Västra Frölunda HC J20,SuperElit,35,6,7,13,22,,1290
2003-04,Sweden U18,WJC-18,6,1,1,2,10,1,1290
2003-04,Sweden U18 (all),International-Jr,20,4,1,5,38,,1290
2003-04,Spartak Moskva-2,Russia3,-,-,-,-,-,,18029
2003-04,Kloten U20,Elite Jr. A,17,15,12,27,76,,17894
2003-04,Kloten Flyers,NLA,20,1,1,2,2,,17894
2003-04,GC Küsnacht Lions,NLB,6,4,0,4,6,,17894
2003-04,Lada Togliatti,Russia,23,1,0,1,12,3,9603
2003-04,Lada Togliatti-2,Russia3,10,1,1,2,4,,9603
2003-04,Mississauga IceDogs,OHL,30,0,4,4,89,1,12039
2003-04,Collingwood Blues,OPJHL,25,7,15,22,148,,12039
2003-04,Univ. of Michigan,NCAA,42,8,5,13,51,12,9412
2003-04,UMass-Lowell,NCAA,36,18,16,34,18,,10986
2003-04,Cape Breton Screaming Eagles,QMJHL,56,5,13,18,48,14,12166
2003-04,Guelph Storm,OHL,9,1,3,4,2,2,11324
2003-04,Toronto St. Michael's Majors,OHL,54,17,24,41,30,16,11324
2003-04,Northern Michigan Univ.,NCAA,36,1,6,7,30,-2,9417
2003-04,Kamloops Blazers,WHL,71,7,12,19,107,3,11694
2003-04,Grande Prairie Storm,AJHL,44,23,26,49,85,,14865
2003-04,Grande Prairie Storm,RBC Cup,5,2,6,8,4,,14865
2003-04,HC Davos,NLA,39,11,8,19,0,,9655
2003-04,Switzerland U20,WJC-20,5,3,3,6,0,3,9655
2003-04,Moncton Gagnon Beavers,MJAHL,42,3,2,5,235,,12131
2003-04,Halifax Mooseheads,QMJHL,1,0,0,0,5,1,12131
2003-04,Nanaimo Clippers,BCHL,58,23,26,49,73,,18028
2003-04,HK Spisska Nova Ves U20,Slovakia U20,37,20,24,44,102,,9252
2003-04,HK Spisska Nova Ves,Slovakia2,30,2,3,5,16,,9252
2003-04,Slovakia U18,WJC-18,6,0,3,3,6,1,9252
2003-04,Slovakia U19,International-Jr,2,1,2,3,0,5,9252
2003-04,Halifax Mooseheads,QMJHL,70,17,21,38,78,-12,9494
2003-04,Canada U18,WJC-18,7,1,4,5,18,3,9494
2003-04,U.S. National U18 Team,NAHL,10,1,2,3,8,,9427
2003-04,USA U18,WJC-18,6,2,3,5,8,1,9427
2003-04,Cape Breton Screaming Eagles,QMJHL,68,4,12,16,137,16,11740
2003-04,Univ. of Nebraska-Omaha,NCAA,39,16,19,35,52,,11414
2003-04,Calgary Hitmen,WHL,12,0,1,1,24,3,11601
2003-04,Tri-City Americans,WHL,23,3,1,4,33,-2,11601
2003-04,Peterborough Petes,OHL,67,14,14,28,124,-6,10990
2003-04,Kamloops Blazers,WHL,70,0,8,8,54,8,11308
2003-04,Vernon Vipers,BCHL,60,43,53,96,26,,11417
2003-04,HC Sparta Praha U20,Czech U20,37,3,6,9,36,1,9619
2003-04,HC Sparta Praha,Czech,1,0,0,0,0,0,9619
2003-04,Czech Republic U18,WJC-18,7,0,0,0,6,2,9619
2003-04,Czech Republic U19 (all),International-Jr,10,0,1,1,10,2,9619
2003-04,HC Vitkovice U20,Czech U20,52,4,11,15,44,0,9621
2003-04,Czech Republic U18,WJC-18,7,0,0,0,8,0,9621
2003-04,Czech Republic U18 (all),International-Jr,9,0,2,2,2,,9621
2003-04,Västra Frölunda HC J18,J18 Allsvenskan,0,0,0,0,0,,1255
2003-04,Västra Frölunda HC J20,SuperElit,36,9,6,15,67,,1255
2003-04,Sweden U18,WJC-18,6,0,4,4,12,1,1255
2003-04,Sweden U18 (all),International-Jr,16,3,5,8,22,,1255
2003-04,Texas Tornado,NAHL,54,5,27,32,93,,14859
2003-04,Cedar Rapids Roughriders,USHL,55,7,26,33,34,0,12367
2003-04,Univ. of Wisconsin,NCAA,42,14,13,27,46,,9414
2003-04,HC Vsetin U20,Czech U20,51,2,4,6,26,-2,18027
2003-04,HIFK U20,Jr. A SM-liiga,33,11,17,28,28,11,4279
2003-04,HIFK,Liiga,8,0,0,0,2,-1,4279
2003-04,Suomi U20,Mestis,7,1,0,1,0,-1,4279
2003-04,Finland U20,WJC-20,5,0,0,0,27,-1,4279
2003-04,Västra Frölunda HC J18,J18 Allsvenskan,0,0,0,0,0,,2034
2003-04,Västra Frölunda HC J20,SuperElit,28,7,10,17,14,,2034
2003-04,Sweden U18 (all),International-Jr,7,0,1,1,18,,2034
2003-04,Boston Univ.,NCAA,38,5,12,17,20,7,13482
2003-04,Saginaw Spirit,OHL,68,10,18,28,81,-22,9497
2003-04,Canada U18,WJC-18,7,2,1,3,8,2,9497
2003-04,Tappara U20,Jr. A SM-liiga,12,3,12,15,8,10,4281
2003-04,Tappara,Liiga,39,4,9,13,29,9,4281
2003-04,Suomi U20,Mestis,6,1,1,2,4,-7,4281
2003-04,Finland U20,WJC-20,7,1,1,2,2,1,4281
2003-04,Notre Dame Hounds,SJHL,55,20,44,64,12,,11449
2003-04,Shawinigan Cataractes,QMJHL,53,0,7,7,129,4,51401
2003-04,U.S. National U18 Team,NAHL,10,3,4,7,4,,9432
2003-04,U.S. National U18 Team,USDP,45,18,20,38,16,,9432
2003-04,USA U18,WJC-18,6,1,3,4,2,-1,9432
2003-04,Tri-City Americans,WHL,69,11,12,23,53,2,18026
2003-04,Bramalea Blues,OPJHL,33,3,12,15,16,,11585
2003-04,Brampton Battalion,OHL,2,1,1,2,0,-1,11585
2003-04,London Knights,OHL,51,3,5,8,48,9,11237
2003-04,TUTO Hockey U18,Jr. B SM-sarja,16,7,6,13,4,,4223
2003-04,TuTo Hockey,Mestis,25,4,3,7,2,-4,4223
2003-04,Finland U18,WJC-18,6,1,0,1,4,2,4223
2003-04,Sioux City Musketeers,USHL,60,20,20,40,119,4,18025
2003-04,Ottawa 67's,OHL,67,29,36,65,56,11,8955
2003-04,Québec Remparts,QMJHL,54,6,8,14,14,-14,11533
2003-04,HC Zlin U20,Czech U20,53,23,33,56,122,9,13659
